Category,Sub-Category,Sales,Quantity,Discount,Profit
Furniture,Bookcases,261.96,2,0.0,41.9136
Furniture,Chairs,731.9399999999999,3,0.0,219.58199999999997
Office Supplies,Labels,14.62,2,0.0,6.8713999999999995
Furniture,Tables,957.5775,5,0.45,-383.03100000000006
Office Supplies,Storage,22.368000000000002,2,0.2,2.516399999999999
Furniture,Furnishings,48.86,7,0.0,14.169399999999996
Office Supplies,Art,7.28,4,0.0,1.9656000000000002
Technology,Phones,907.152,6,0.2,90.71520000000004
Office Supplies,Binders,18.504,3,0.2,5.7825
Office Supplies,Appliances,114.9,5,0.0,34.46999999999999
Furniture,Tables,1706.1840000000002,9,0.2,85.3091999999998
Technology,Phones,911.424,4,0.2,68.35680000000002
Office Supplies,Paper,15.552000000000003,3,0.2,5.4432
Office Supplies,Binders,407.97600000000006,3,0.2,132.59219999999993
Office Supplies,Appliances,68.80999999999999,5,0.8,-123.858
Office Supplies,Binders,2.5439999999999996,3,0.8,-3.8160000000000016
Office Supplies,Storage,665.88,6,0.0,13.317599999999999
Office Supplies,Storage,55.5,2,0.0,9.989999999999995
Office Supplies,Art,8.56,2,0.0,2.4823999999999993
Technology,Phones,213.48000000000002,3,0.2,16.01099999999998
Office Supplies,Binders,22.72,4,0.2,7.383999999999999
Office Supplies,Art,19.459999999999997,7,0.0,5.0596
Office Supplies,Appliances,60.339999999999996,7,0.0,15.688400000000001
Furniture,Chairs,71.37199999999999,2,0.3,-1.0196000000000005
Furniture,Tables,1044.6299999999999,3,0.0,240.2649
Office Supplies,Binders,11.648000000000001,2,0.2,4.2224
Technology,Accessories,90.57000000000001,3,0.0,11.774100000000004
Furniture,Bookcases,3083.4300000000003,7,0.5,-1665.0522
Office Supplies,Binders,9.618000000000002,2,0.7,-7.0532
Furniture,Furnishings,124.20000000000002,3,0.2,15.524999999999991
Office Supplies,Envelopes,3.2640000000000002,2,0.2,1.1015999999999997
Office Supplies,Art,86.304,6,0.2,9.709199999999989
Office Supplies,Binders,6.858000000000001,6,0.7,-5.715
Office Supplies,Art,15.76,2,0.2,3.5460000000000007
Office Supplies,Paper,29.472,3,0.2,9.946799999999998
Technology,Phones,1097.5440000000003,7,0.2,123.4736999999999
Furniture,Furnishings,190.92,5,0.6,-147.96300000000002
Office Supplies,Envelopes,113.328,9,0.2,35.415
Furniture,Bookcases,532.3992,3,0.32,-46.97640000000001
Furniture,Chairs,212.058,3,0.3,-15.146999999999991
Technology,Phones,371.168,4,0.2,41.75639999999996
Technology,Phones,147.168,4,0.2,16.556399999999996
Office Supplies,Storage,77.88,2,0.0,3.8939999999999912
Office Supplies,Storage,95.616,2,0.2,9.56160000000001
Technology,Accessories,45.98,2,0.0,19.7714
Office Supplies,Binders,17.46,2,0.0,8.206199999999999
Office Supplies,Storage,211.96,4,0.0,8.478399999999993
Technology,Accessories,45.0,3,0.0,4.950000000000001
Technology,Phones,21.8,2,0.0,6.104000000000001
Office Supplies,Binders,38.22,6,0.0,17.9634
Office Supplies,Labels,75.17999999999999,6,0.0,35.334599999999995
Furniture,Furnishings,6.16,2,0.0,2.9568
Furniture,Chairs,89.99,1,0.0,17.098099999999988
Office Supplies,Fasteners,15.260000000000002,7,0.0,6.256600000000001
Technology,Phones,1029.95,5,0.0,298.6855
Office Supplies,Storage,208.56,6,0.0,52.139999999999986
Office Supplies,Paper,32.400000000000006,5,0.0,15.552000000000001
Furniture,Chairs,319.41,5,0.1,7.098000000000006
Office Supplies,Paper,14.56,2,0.0,6.9888
Technology,Accessories,30.0,2,0.0,3.3000000000000007
Office Supplies,Binders,48.480000000000004,4,0.2,16.362
Office Supplies,Art,1.68,1,0.0,0.84
Technology,Accessories,13.98,2,0.0,6.151200000000001
Office Supplies,Binders,25.824,6,0.2,9.3612
Office Supplies,Paper,146.73,3,0.0,68.9631
Furniture,Furnishings,79.76,4,0.0,22.332800000000006
Furniture,Chairs,213.11499999999998,5,0.3,-15.22250000000001
Office Supplies,Art,1113.0240000000001,8,0.2,111.30239999999998
Technology,Phones,167.96800000000002,4,0.2,62.988
Office Supplies,Paper,75.88,2,0.0,35.663599999999995
Office Supplies,Binders,4.616,1,0.2,1.7309999999999999
Office Supplies,Paper,19.049999999999997,3,0.0,8.763
Furniture,Chairs,831.9360000000001,8,0.2,-114.39120000000003
Furniture,Furnishings,97.04,2,0.2,1.2129999999999974
Office Supplies,Storage,72.784,1,0.2,-18.196
Office Supplies,Binders,1.2479999999999998,3,0.8,-1.9344000000000006
Furniture,Furnishings,9.708,3,0.6,-5.8248000000000015
Office Supplies,Storage,27.240000000000002,3,0.2,2.724000000000002
Furniture,Furnishings,19.3,5,0.6,-14.475000000000001
Office Supplies,Appliances,208.16,1,0.0,56.20320000000001
Office Supplies,Binders,16.740000000000002,3,0.0,8.0352
Office Supplies,Art,14.9,5,0.0,4.172000000000001
Office Supplies,Storage,21.39,1,0.0,6.203099999999999
Office Supplies,Envelopes,200.98400000000004,7,0.2,62.807499999999976
